,41,mile, access, station,timezone,40
column-options,ardp,,,,,ardp reverse
days,CHI,,,,,CHI
updown,,,,,,
CHI,41 first,0,,,,40 last
SOB,,84,,,,
EKH,,101,,,,
WTI,,156,,,,
TOL,,234,,,,
SKY,,281,,,,
ELY,,316,,,,
CLE,,341,,,,
ALC,,397,,,,
PGH,,481,,,,
COV,,541,,,,
CUM,,634,,,,
MRB,,706,,,,
HFY,,725,,,,
RKV,,764,,,,
WAS,,780,,,,
ALX,,788,,,,
RVR,,889,,,,
PTB,,917,,,,
RMT,,1015,,,,
RGH,,1086,,,,
CYN,,1094,,,,
SOP,,1154,,,,
HAM,,1183,,,,
CAM,,1256,,,,
CLB,,1289,,,,
DNK,,1338,,,,
SAV,,1425,,,,
JAX,,1573,,,,
PAK,,1631,,,,
DLD,,1683,,,,
WPK,,1715,,,,
ORL,,1720,,,,
KIS,,1738,,,,
LAK,,1788,,,,
TPA,,1819,,,,
LKL,,1850,,,,
WTH,,1867,,,,
SBG,,1908,,,,
OKE,,1950,,,,
WPB,,2011,,,,
DLB,,2029,,,,
DFB,,2040,,,,
FTL,,2054,,,,
HOL,,2062,,,,
MIA,41 last,2076,,,,40 first
