,mile,access,station,640,642,600,644,42,654,656,658,620,622
column-options,,,,ardp,,,,ardp,,,,,
route-name,,,,,,,,,,,,,
days,,,,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL
PGH,0,,,blank,blank,blank,blank,first,blank,blank,blank,blank,blank
GNB,31,,,blank,blank,blank,blank,,blank,blank,blank,blank,blank
LAB,41,,,blank,blank,blank,blank,,blank,blank,blank,blank,blank
JST,78,,,blank,blank,blank,blank,,blank,blank,blank,blank,blank
ALT,117,,,blank,blank,blank,blank,,blank,blank,blank,blank,blank
TYR,131,,,blank,blank,blank,blank,,blank,blank,blank,blank,blank
HGD,151,,,blank,blank,blank,blank,,blank,blank,blank,blank,blank
LEW,188,,,blank,blank,blank,blank,,blank,blank,blank,blank,blank
HAR,249<hr>0,,,first two-row,first two-row,first two-row,first two-row,,first two-row,first two-row,first two-row,first two-row,first two-row
MID,10,,,,,,,,,,,,
ELT,18,,,,,,,,,,,,
MJY,25,,,,,,,,,,,,
LNC,36,,,,,,,,,,,,
PAR,62,,,,,,,,,,,,
COT,66,,,,,,,,,,,,
DOW,72,,,,,,,,,,,,
EXT,77,,,,,,,,,,,,
PAO,85,,,,,,,,,,,,
ARD,96,,,,,,,,,,,,
PHL,104,,,,,,,,,,,last,last
PHN,108,,,,,,,,,,,blank,blank
CWH,121,,,,,,,,,,,blank,blank
TRE,137,,,,,,,,,,,blank,blank
PJC,147,,,,,,,,,,,blank,blank
NBK,163,,,,,,,,,,,blank,blank
MET,171,,,,,,,,,,,blank,blank
EWR,182,,,,,,,,,,,blank,blank
NWK,185,,,,,,,,,,,blank,blank
NYP,195,,,last,last,last,last,last,last,last,last,blank,blank
