,97-64 noheader,mile,access,stations,98-63 noheader
column-options,ardp,,,,ardp reverse
route-name,,,,,
,"<div style=""text-align: center;"">(Via Rail <b>#97</b>)</div>",,,,"<div style=""text-align: center;"">(Via Rail <b>#98</b>)</div>"
days,NYP,,,,NYP
updown,,,,,
TWO,97-64 first,0,,,98-63 last
OKL,97-64,21,,,98-63
AST,97-64,32,,,98-63
GMS,97-64,56,,,98-63
SCA,97-64,71,,,98-63
NFS,97-64,82,,,98-63
NFL,97-64,84,,,98-63
BFX,97-64,107,,,98-63
BUF,97-64,113,,,98-63
ROC,97-64,174,,,98-63
SYR,97-64,253,,,98-63
ROM,97-64,294,,,98-63
UCA,97-64,307,,,98-63
AMS,97-64,367,,,98-63
SDY,97-64,385,,,98-63
ALB,97-64,403,,,98-63
HUD,97-64,430,,,98-63
RHI,97-64,456,,,98-63
POU,97-64,471,,,98-63
CRT,97-64,512,,,98-63
YNY,97-64,530,,,98-63
NYP,97-64 last,544,,,98-63 first
